A002,IRKUT,A-002,G,P
A319,AIRBUS,A-319 ACJ,L,J
A319,AIRBUS,ACJ,L,J
A320,AIRBUS,A-320,L,J
A321,AIRBUS,A-321,L,J
A332,AIRBUS,A-330-200,L,J
A333,AIRBUS,A-330-300,L,J
A342,AIRBUS,A-340-200,L,J
A343,AIRBUS,A-340-300,L,J
A345,AIRBUS,A-340-500,L,J
A346,AIRBUS,A-340-600,L,J
A37,CESSNA,318D Dragonfly,L,J
A37,CESSNA,318E Dragonfly,L,J
A37,CESSNA,A-37 Dragonfly,L,J
A37,CESSNA,Dragonfly,L,J
A37,CESSNA,OA-37 Dragonfly,L,J
A388,AIRBUS,A-380-800,L,J
A3ST,AIRBUS,A-300ST Beluga,L,J
A3ST,AIRBUS,A-300ST Super Transporter,L,J
A3ST,AIRBUS,Beluga,L,J
A3ST,AIRBUS,Super Transporter,L,J
A3ST,SATIC,A-300ST Beluga,L,J
A3ST,SATIC,A-300ST Super Transporter,L,J
A3ST,SATIC,Beluga,L,J
A3ST,SATIC,Super Transporter,L,J
A4,DOUGLAS,A-4 Skyhawk,L,J
A4,DOUGLAS,Skyhawk,L,J
A4,DOUGLAS,TA-4 Skyhawk,L,J
A4,MCDONNELL DOUGLAS,A-4 Skyhawk,L,J
A4,MCDONNELL DOUGLAS,OA-4 Skyhawk,L,J
A4,MCDONNELL DOUGLAS,Skyhawk,L,J
A4,MCDONNELL DOUGLAS,TA-4 Skyhawk,L,J
A4,SINGAPORE,A-4 Super Skyhawk,L,J
A4,SINGAPORE,Super Skyhawk,L,J
A4,SINGAPORE,TA-4 Super Skyhawk,L,J
A50,BERIEV,A-50,L,J
A50,BERIEV,Be-976,L,J
A50,ILYUSHIN,A-50,L,J
A50,ILYUSHIN,Be-976,L,J
A500,ADAM,A-500,L,P
A500,ADAM,A-500 CarbonAero,L,P
A500,ADAM,CarbonAero,L,P
A504,AVRO,504,L,P
A504,AVRO,504 Replica,L,P
A6,GRUMMAN,A-6 Intruder,L,J
A6,GRUMMAN,EA-6 Prowler,L,J
A6,GRUMMAN,G-128 Intruder,L,J
A6,GRUMMAN,G-128 Prowler,L,J
A6,GRUMMAN,Intruder,L,J
A6,GRUMMAN,KA-6 Intruder,L,J
A6,GRUMMAN,Prowler,L,J
A660,AYRES,660 Turbo Thrush,L,T
A660,AYRES,Turbo Thrush (660),L,T
A7,LTV,A-7 Corsair 2,L,J
A7,LTV,Corsair 2,L,J
A7,LTV,EA-7 Corsair 2,L,J
A7,LTV,TA-7 Corsair 2,L,J
A7,VOUGHT,A-7 Corsair 2,L,J
A7,VOUGHT,Corsair 2,L,J
A7,VOUGHT,TA-7 Corsair 2,L,J
A700,ADAM,A-700,L,J
A748,AIL,748,L,T
A748,AVRO,748,L,T
A748,AVRO,C-91,L,T
A748,BRITISH AEROSPACE,BAe-748,L,T
A748,HAWKER SIDDELEY,Andover,L,T
A748,HAWKER SIDDELEY,C-91,L,T
A748,HAWKER SIDDELEY,HS-748,L,T
A748,HAWKER SIDDELEY,HS-748 Andover,L,T
A748,HAWKER SIDDELEY,HS-780 Andover,L,T
A748,HINDUSTAN,748,L,T
A748,KANPUR,748,L,T
A890,AVIATIKA,MAI-890,L,P
A890,OSKBES-MAI,MAI-890,L,P
A9,AAMSA,A-9 Quail,L,P
A9,AAMSA,Quail,L,P
A9,AERO COMMANDER,A-9 Ag Commander,L,P
A9,AERO COMMANDER,Ag Commander (A-9),L,P
A9,AIRCRAFT PARTS,A-9 Quail,L,P
A9,AIRCRAFT PARTS,Quail,L,P
A9,IMCO,Callair A-9,L,P
A9,NORTH AMERICAN ROCKWELL,A-9 Quail Commander,L,P
A9,NORTH AMERICAN ROCKWELL,A-9 Sparrow Commander,L,P
A9,NORTH AMERICAN ROCKWELL,Quail Commander,L,P
A9,NORTH AMERICAN ROCKWELL,Sparrow Commander,L,P
A900,AVIATIKA,Acrobat,L,P
A900,AVIATIKA,MAI-900 Acrobat,L,P
A900,OSKBES-MAI,Acrobat,L,P
A900,OSKBES-MAI,MAI-900 Acrobat,L,P
A910,AVIATIKA,MAI-910,L,P
A910,AVIATIKA,MAI-960,L,P
A910,OSKBES-MAI,Interfly,L,P
A910,OSKBES-MAI,MAI-910 Interfly,L,P
A910,OSKBES-MAI,MAI-960 Interfly,L,P
AA1,AMERICAN,AA-1 Tr2,L,P
AA1,AMERICAN,AA-1 Trainer,L,P
AA1,AMERICAN,AA-1 Yankee,L,P
AA1,AMERICAN,Tr2,L,P
AA1,AMERICAN,Trainer,L,P
AA1,AMERICAN,Yankee,L,P
AA1,GRUMMAN AMERICAN,AA-1 Lynx,L,P
AA1,GRUMMAN AMERICAN,AA-1 T-Cat,L,P
AA1,GRUMMAN AMERICAN,AA-1 Tr2,L,P
AA1,GRUMMAN AMERICAN,AA-1 Trainer,L,P
AA1,GRUMMAN AMERICAN,Lynx,L,P
AA1,GRUMMAN AMERICAN,T-Cat,L,P
AA1,GRUMMAN AMERICAN,Tr2,L,P
AA1,GRUMMAN AMERICAN,Trainer,L,P
AA1,GULFSTREAM AMERICAN,AA-1 Lynx,L,P
AA1,GULFSTREAM AMERICAN,AA-1 T-Cat,L,P
AA1,GULFSTREAM AMERICAN,Lynx,L,P
AA1,GULFSTREAM AMERICAN,T-Cat,L,P
AA5,AMERICAN,AA-5 Traveler,L,P
AA5,AMERICAN,Traveler,L,P
AA5,AMERICAN GENERAL,AG-5 Tiger,L,P
AA5,AMERICAN GENERAL,Tiger,L,P
AA5,GRUMMAN AMERICAN,AA-5 Cheetah,L,P
AA5,GRUMMAN AMERICAN,AA-5 Tiger,L,P
AA5,GRUMMAN AMERICAN,AA-5 Traveler,L,P
AA5,GRUMMAN AMERICAN,Cheetah,L,P
AA5,GRUMMAN AMERICAN,Tiger,L,P
AA5,GRUMMAN AMERICAN,Traveler,L,P
AA5,GULFSTREAM AMERICAN,AA-5 Cheetah,L,P
AA5,GULFSTREAM AMERICAN,AA-5 Tiger,L,P
AA5,GULFSTREAM AMERICAN,Cheetah,L,P
AA5,GULFSTREAM AMERICAN,Tiger,L,P
AA5,TIGER,AG-5 Tiger,L,P
AA5,TIGER,Tiger,L,P
AB11,AERO BOERO,AB-115,L,P
AB15,AERO BOERO,AB-150,L,P
AB18,AERO BOERO,AB-180,L,P
AB95,AERO BOERO,AB-95,L,P
AC11,COMMANDER,Commander 114,L,P
AC11,COMMANDER,Commander 115,L,P
AC11,NORTH AMERICAN ROCKWELL,112 Commander 112,L,P
AC11,NORTH AMERICAN ROCKWELL,Commander 112,L,P
AC11,ROCKWELL,112 Alpine Commander,L,P
AC11,ROCKWELL,112 Commander 112,L,P
AC11,ROCKWELL,114 Commander 114,L,P
AC11,ROCKWELL,114 Gran Turismo Commander,L,P
AC11,ROCKWELL,Alpine Commander,L,P
AC11,ROCKWELL,Commander 112,L,P
AC11,ROCKWELL,Commander 114,L,P
AC11,ROCKWELL,Gran Turismo Commander,L,P
AC4,LIGHT WING,AC-4,L,P
AC50,AERO,Commander 500,L,P
AC50,AERO COMMANDER,500 Commander 500,L,P
AC50,AERO COMMANDER,Commander 500,L,P
AC50,NORTH AMERICAN ROCKWELL,500 Commander 500,L,P
AC50,NORTH AMERICAN ROCKWELL,500 Shrike Commander,L,P
AC50,NORTH AMERICAN ROCKWELL,Commander 500,L,P
AC50,NORTH AMERICAN ROCKWELL,Shrike Commander,L,P
AC50,ROCKWELL,500 Shrike Commander,L,P
AC50,ROCKWELL,Shrike Commander,L,P
AC52,AERO,Commander 520,L,P
AC56,AERO,Commander 560,L,P
AC56,AERO,L-26B Commander 560,L,P
AC56,AERO,U-4A Commander 560,L,P
AC56,AERO COMMANDER,560 Commander 560,L,P
AC56,AERO COMMANDER,Commander 560,L,P
AC5M,AVIASTROITEL,AC-5M,L,P
AC68,AERO,Commander 680 Super,L,P
AC68,AERO,Commander 680E,L,P
AC68,AERO,Commander 680F,L,P
AC68,AERO,L-26C Commander 680 Super,L,P
AC68,AERO,U-4B Commander 680 Super,L,P
AC68,AERO,U-9 Commander 680 Super,L,P
AC68,AERO COMMANDER,680F Commander 680F,L,P
AC68,AERO COMMANDER,680FP Commander 680FP,L,P
AC68,AERO COMMANDER,Commander 680F,L,P
AC68,AERO COMMANDER,Commander 680FP,L,P
AC6L,AERO COMMANDER,680FL Grand Commander,L,P
AC6L,AERO COMMANDER,Grand Commander,L,P
AC6L,NORTH AMERICAN ROCKWELL,680FL Courser Commander,L,P
AC6L,NORTH AMERICAN ROCKWELL,680FL Grand Commander,L,P
AC6L,NORTH AMERICAN ROCKWELL,685 Commander 685,L,P
AC6L,NORTH AMERICAN ROCKWELL,Commander 685,L,P
AC6L,NORTH AMERICAN ROCKWELL,Courser Commander,L,P
AC6L,NORTH AMERICAN ROCKWELL,Grand Commander,L,P
AC6L,ROCKWELL,685 Commander 685,L,P
AC6L,ROCKWELL,Commander 685,L,P
AC72,AERO,Commander 720 Alti Cruiser,L,P
AC72,AERO COMMANDER,720 Alti Cruiser,L,P
AC72,AERO COMMANDER,Alti Cruiser,L,P
AC80,AERO COMMANDER,680T Turbo Commander,L,T
AC80,AERO COMMANDER,680V Turbo Commander,L,T
AC80,AERO COMMANDER,Turbo Commander (680),L,T
AC80,NORTH AMERICAN ROCKWELL,680V Turbo Commander,L,T
AC80,NORTH AMERICAN ROCKWELL,680W Turbo 2 Commander,L,T
AC80,NORTH AMERICAN ROCKWELL,681 Hawk Commander,L,T
AC80,NORTH AMERICAN ROCKWELL,Hawk Commander,L,T
AC80,NORTH AMERICAN ROCKWELL,Turbo 2 Commander,L,T
AC80,NORTH AMERICAN ROCKWELL,Turbo Commander (680),L,T
AC90,GULFSTREAM AEROSPACE,690 Jetprop Commander 840,L,T
AC90,GULFSTREAM AEROSPACE,690 Jetprop Commander 900,L,T
AC90,GULFSTREAM AEROSPACE,Jetprop Commander 840,L,T
AC90,GULFSTREAM AEROSPACE,Jetprop Commander 900,L,T
AC90,GULFSTREAM AMERICAN,690 Jetprop Commander 840,L,T
AC90,GULFSTREAM AMERICAN,690 Jetprop Commander 900,L,T
AC90,GULFSTREAM AMERICAN,Jetprop Commander 840,L,T
AC90,GULFSTREAM AMERICAN,Jetprop Commander 900,L,T
AC90,NORTH AMERICAN ROCKWELL,690 Turbo Commander 690,L,T
AC90,NORTH AMERICAN ROCKWELL,Turbo Commander 690,L,T
AC90,ROCKWELL,690 Jetprop Commander 840,L,T
AC90,ROCKWELL,690 Turbo Commander 690,L,T
AC90,ROCKWELL,Jetprop Commander 840,L,T
AC90,ROCKWELL,Turbo Commander 690,L,T
AC95,GULFSTREAM AEROSPACE,695 Jetprop Commander 1000,L,T
AC95,GULFSTREAM AEROSPACE,695 Jetprop Commander 980,L,T
AC95,GULFSTREAM AEROSPACE,Jetprop Commander 1000,L,T
AC95,GULFSTREAM AEROSPACE,Jetprop Commander 980,L,T
AC95,GULFSTREAM AMERICAN,695 Jetprop Commander 1000,L,T
AC95,GULFSTREAM AMERICAN,695 Jetprop Commander 980,L,T
AC95,GULFSTREAM AMERICAN,Jetprop Commander 1000,L,T
AC95,GULFSTREAM AMERICAN,Jetprop Commander 980,L,T
AC95,ROCKWELL,695 Jetprop Commander 1000,L,T
AC95,ROCKWELL,695 Jetprop Commander 980,L,T
AC95,ROCKWELL,Jetprop Commander 1000,L,T
AC95,ROCKWELL,Jetprop Commander 980,L,T
ACAM,LEZA,Air Cam,L,P
ACAM,LEZA-LOCKWOOD,Air Cam,L,P
ACAM,LOCKWOOD,Air Cam,L,P
ACAR,AUSTER,Autocar,L,P
ACAR,AUSTER,J-5B Autocar,L,P
ACAR,AUSTER,J-5E Autocar,L,P
ACAR,AUSTER,J-5G Autocar,L,P
ACAR,AUSTER,J-5H Autocar,L,P
ACAR,AUSTER,J-5P Autocar,L,P
ACAR,AUSTER,J-5T Autocar,L,P
ACAR,AUSTER,J-5V Autocar,L,P
ACED,POWELL,Acey Deucy,L,P
ACED,POWELL,P-70 Acey Deucy,L,P
ACJR,SPENCER,Air Car Junior,A,P
ACPL,OPTION AIR,Acapella,L,P
ACR2,ACRO SPORT,Acro-Sport 2,L,P
ACR2,EAA,Acro-Sport 2,L,P
ACRD,AVIA,Accord,L,P
ACRO,ACRO SPORT,Acro-Sport 1,L,P
ACRO,ACRO SPORT,Super Acro-Sport,L,P
ACRO,EAA,Acro-Sport 1,L,P
ACRO,EAA,Super Acro-Sport,L,P
ACSR,VICTA,Aircruiser,L,P
AD20,BEIJING KEYUAN,AD-200,L,P
AD20,NANJING UNIVERSITY,AD-200,L,P
ADVE,AUSTER,Adventurer,L,P
ADVE,AUSTER,J-5 Adventurer,L,P
ADVN,ADVENTURE AIR,Adventurer,A,P
AE45,AERO,45,L,P
AE45,LET,Aero 45,L,P
AE45,LET,Super Aero 145,L,P
AEA1,AMERICAN EAGLE,A-1,L,P
AEA1,AMERICAN EAGLE,A-101,L,P
AEST,AEROSTAR,600,L,P
AEST,AEROSTAR,601,L,P
AEST,AICSA,Aerostar,L,P
AEST,MACHEN,Superstar,L,P
AEST,PIPER,Aerostar,L,P
AEST,PIPER,PA-60 Aerostar,L,P
AEST,TED SMITH,Aerostar,L,P
AG02,GATARD,AG-02 Poussin,L,P
AG02,GATARD,Poussin,L,P
AGSH,AERO GARE,Sea Hawker,A,P
AGSH,AERO-COMPOSITES,Sea Hawker,A,P
AI10,IKAR,Ai-10 Ikar,L,P
AI10,IKAR,Ikar,L,P
AIGT,AUSTER,Aiglet Trainer,L,P
AIGT,AUSTER,J-5F Aiglet Trainer,L,P
AIGT,AUSTER,J-5K Aiglet Trainer,L,P
AIGT,AUSTER,J-5L Aiglet Trainer,L,P
AIRD,BEAGLE,A-109 Airedale,L,P
AIRD,BEAGLE,Airedale,L,P
AIRD,BEAGLE-AUSTER,A-109 Airedale,L,P
AIRD,BEAGLE-AUSTER,Airedale,L,P
AJET,AOI,Alpha Jet,L,J
AJET,DASSAULT-BREGUET,Alpha Jet,L,J
AJET,DASSAULT-BREGUET/DORNIER,Alpha Jet,L,J
AJET,DORNIER,Alpha Jet,L,J
AJET,SABCA,Alpha Jet,L,J
AK1,AKAFLIEG KARLSRUHE,AK-1,L,P
AKRO,STEPHENS,Akro,L,P
ALBU,AVIATION DEVELOPMENT,Alaskan Bushmaster,L,P
ALC1,ALTAIR COELHO,AC-11,L,P
ALH,HINDUSTAN,ALH Dhruv,H,T
ALH,HINDUSTAN,Dhruv,H,T
ALIZ,BREGUET,1050 Alizé,L,T
ALIZ,BREGUET,Alizé,L,T
ALO2,AEROSPATIALE,Alouette 2,H,T
ALO2,AEROSPATIALE,SA-318 Alouette 2,H,T
ALO2,REPUBLIC,Alouette 2,H,T
ALO2,REPUBLIC,SE-3130 Alouette 2,H,T
ALO2,SUD,Alouette 2,H,T
ALO2,SUD,SA-318 Alouette 2,H,T
ALO2,SUD,SA-3180 Alouette 2,H,T
ALO2,SUD,SE-313 Alouette 2,H,T
ALO2,SUD,SE-3130 Alouette 2,H,T
ALO2,SUD-EST,Alouette 2,H,T
ALO2,SUD-EST,SE-3130 Alouette 2,H,T
ALO3,AEROSPATIALE,Alouette 3,H,T
ALO3,AEROSPATIALE,HD-16 Alouette 3,H,T
ALO3,AEROSPATIALE,SA-316 Alouette 3,H,T
ALO3,AEROSPATIALE,SA-319 Alouette 3,H,T
ALO3,F+W EMMEN,Alouette 3,H,T
ALO3,F+W EMMEN,SE-3160 Alouette 3,H,T
ALO3,HINDUSTAN,Chetak,H,T
ALO3,HINDUSTAN,SA-316 Chetak,H,T
ALO3,HINDUSTAN,SE-3160 Chetak,H,T
ALO3,ICA,Alouette 3,H,T
ALO3,ICA,IAR-316 Alouette 3,H,T
ALO3,LICHTWERK,Alouette 3,H,T
ALO3,LICHTWERK,SE-3160 Alouette 3,H,T
ALO3,SUD,Alouette 3,H,T
ALO3,SUD,SA-316 Alouette 3,H,T
ALO3,SUD,SA-319 Alouette 3,H,T
ALO3,SUD,SE-3160 Alouette 3,H,T
ALPI,AUSTER,Alpine,L,P
ALPI,AUSTER,J-5Q Alpine,L,P
ALPI,AUSTER,J-5R Alpine,L,P
AM3,AERFER,AM-3,L,P
AM3,AERFER-AERMACCHI,AM-3,L,P
AM3,AERITALIA,AM-3,L,P
AM3,AERITALIA-AERMACCHI,AM-3,L,P
AM3,AERMACCHI,AM-3,L,P
AM3,ATLAS,AM-3 Bosbok,L,P
AM3,ATLAS,Bosbok,L,P
AMX,AERITALIA,AMX Ghibli,L,J
AMX,AERITALIA,Ghibli,L,J
AMX,AERMACCHI,AMX Ghibli,L,J
AMX,AERMACCHI,Ghibli,L,J
AMX,ALENIA,AMX Ghibli,L,J
AMX,ALENIA,Ghibli,L,J
AMX,AMX,A-1,L,J
AMX,AMX,AMX,L,J
AMX,AMX,AMX Ghibli,L,J
AMX,AMX,Ghibli,L,J
AMX,EMBRAER,A-1,L,J
AMX,EMBRAER,AMX,L,J
AN12,ANTONOV,An-12,L,T
AN12,SHAANXI,Y-8,L,T
AN2,AICSA,An-2,L,P
AN2,ANTONOV,An-2,L,P
AN2,NANCHANG,Y-5,L,P
AN2,PZL-MIELEC,An-2 Antek,L,P
AN2,PZL-MIELEC,Antek,L,P
AN2,SHIJIAZHUANG,Y-5,L,P
AN22,ANTONOV,An-22 Antheus,L,T
AN22,ANTONOV,Antheus,L,T
AN24,ANTONOV,An-24,L,T
AN24,XIAN,MA-60,L,T
AN24,XIAN,Y-7-100,L,T
AN24,XIAN,Y-7-200,L,T
AN24,XIAN,Y-7E,L,T
AN26,ANTONOV,An-26,L,T
AN26,XIAN,Y-7H,L,T
AN28,ANTONOV,An-28,L,T
AN28,PZL-MIELEC,An-28,L,T
AN28,PZL-MIELEC,An-28 Bryza,L,T
AN28,PZL-MIELEC,Bryza,L,T
AN28,PZL-MIELEC,M-28 Bryza,L,T
AN3,ANTONOV,An-3,L,T
AN30,ANTONOV,An-30,L,T
AN32,ANTONOV,An-32,L,T
AN32,ANTONOV,An-32 Firekiller,L,T
AN32,ANTONOV,An-32 Sutlej,L,T
AN32,ANTONOV,Firekiller,L,T
AN32,ANTONOV,Sutlej,L,T
AN38,ANTONOV,An-38,L,T
AN70,ANTONOV,An-70,L,T
AN72,ANTONOV,An-72,L,J
AN72,ANTONOV,An-74,L,J
AN8,ANTONOV,An-8,L,T
ANGL,KING'S,44 Angel,L,P
ANGL,KING'S,Angel,L,P
ANSN,AVRO,652 Anson,L,P
ANSN,AVRO,Anson,L,P
ANST,KAZAN,Ansat,H,T
AP20,AEROPRAKT,A-20,L,P
AP20,AEROPRAKT,A-20 Sky Cruiser,L,P
AP20,AEROPRAKT,A-20 Super Cruiser,L,P
AP20,AEROPRAKT,A-20 Varlet,L,P
AP20,AEROPRAKT,A-20 Vista,L,P
AP20,AEROPRAKT,Sky Cruiser,L,P
AP20,AEROPRAKT,Super Cruiser,L,P
AP20,AEROPRAKT,Varlet,L,P
AP20,AEROPRAKT,Vista,L,P
AP24,AEROPRAKT,A-24 Viking,A,P
AP24,AEROPRAKT,Viking,A,P
AP26,AEROPRAKT,A-26 Twin Vista,L,P
AP26,AEROPRAKT,A-26 Vulcan,L,P
AP26,AEROPRAKT,Twin Vista,L,P
AP26,AEROPRAKT,Vulcan,L,P
AP28,AEROPRAKT,A-28 Victor,L,P
AP28,AEROPRAKT,Victor,L,P
APM2,ISSOIRE,APM-20 Lionceau,L,P
APM2,ISSOIRE,APM-21 Lion,L,P
APM2,ISSOIRE,Lion,L,P
APM2,ISSOIRE,Lionceau,L,P
APM2,MONIOT,APM-20 Lionceau,L,P
APM2,MONIOT,APM-21 Lion,L,P
APM2,MONIOT,Lion,L,P
APM2,MONIOT,Lionceau,L,P
AR11,AERONCA,11 Chief,L,P
AR11,AERONCA,Chief,L,P
AR11,HINDUSTAN,HUL-26 Pushpak,L,P
AR11,HINDUSTAN,Pushpak,L,P
AR15,AERONCA,15 Sedan,L,P
AR15,AERONCA,Sedan,L,P
AR79,ARADO,Ar-79,L,P
ARES,RUTAN,151 Ares,L,J
ARES,RUTAN,Ares,L,J
ARES,SCALED,151 Ares,L,J
ARES,SCALED,Ares,L,J
ARKS,ACEAIR,A-200 Aeriks 200,L,P
ARKS,ACEAIR,A-200 Aeris 200,L,P
ARKS,ACEAIR,Aeriks 200,L,P
ARKS,ACEAIR,Aeris 200,L,P
ARON,GENERAL AVIA,Airone,L,P
ARON,GENERAL AVIA,F-220 Airone,L,P
ARV1,ARV,ARV-1 Super 2,L,P
ARV1,ARV,Super 2,L,P
ARV1,ASL,ARV-1 Opus 280,L,P
ARV1,ASL,Opus 280,L,P
ARV1,AVIATION SCOTLAND,ARV-1 Super 2,L,P
ARV1,AVIATION SCOTLAND,Super 2,L,P
ARV1,HIGHLANDER,Highlander,L,P
ARV1,ISLAND AIRCRAFT,ARV-1 Super 2,L,P
ARV1,ISLAND AIRCRAFT,Super 2,L,P
ARV1,SKYCRAFT,ARV Super 2,L,P
ARV1,SKYCRAFT,Super 2,L,P
ARVA,IAI,101 Arava,L,T
ARVA,IAI,102 Arava,L,T
ARVA,IAI,201 Arava,L,T
ARVA,IAI,202 Arava,L,T
ARVA,IAI,Arava,L,T
ARWF,ARROW,F Sport,L,P
ARWF,ARROW,Sport,L,P
AS02,FFA,AS-202-15 Bravo,L,P
AS02,FFA,AS-202-18 Bravo,L,P
AS02,FFA,AS-202-18 Wren,L,P
AS02,FFA,AS-202-26 Bravo,L,P
AS02,FFA,Bravo,L,P
AS02,FFA,Wren,L,P
AS14,SCHLEICHER,ASK-14,L,P
AS16,SCHLEICHER,ASK-16,L,P
AS20,SCHLEICHER,ASW-20TOP,L,P
AS22,SCHLEICHER,ASW-22BE,L,P
AS22,SCHLEICHER,ASW-22BLE,L,P
AS22,SCHLEICHER,ASW-22M,L,P
AS24,SCHLEICHER,ASW-24E,L,P
AS24,SCHLEICHER,ASW-24TOP,L,P
AS25,SCHLEICHER,ASH-25E,L,P
AS25,SCHLEICHER,ASH-25M,L,P
AS25,SCHLEICHER,ASH-25SL,L,P
AS26,SCHLEICHER,ASH-26E,L,P
AS2T,FFA,AS-202-32TP Turbine Bravo,L,T
AS2T,FFA,Turbine Bravo,L,T
AS32,AEROSPATIALE,AS-332 Super Puma,H,T
AS32,AEROSPATIALE,AS-332 Tiger,H,T
AS32,AEROSPATIALE,AS-532 Cougar,H,T
AS32,AEROSPATIALE,Cougar,H,T
AS32,AEROSPATIALE,HD-21 Super Puma,H,T
AS32,AEROSPATIALE,Hkp10 Super Puma,H,T
AS32,AEROSPATIALE,HT-21 Super Puma,H,T
AS32,AEROSPATIALE,HU-21 Super Puma,H,T
AS32,AEROSPATIALE,Super Puma,H,T
AS32,AEROSPATIALE,Tiger,H,T
AS32,ATLAS,Oryx,H,T
AS32,ATLAS,SA-330 Oryx,H,T
AS32,CASA,AS-332 Super Puma,H,T
AS32,CASA,Cougar,H,T
AS32,CASA,HT-21 Super Puma,H,T
AS32,CASA,HU-21 Super Puma,H,T
AS32,CASA,Super Puma,H,T
AS32,DIRGANTARA,NAS-332 Super Puma,H,T
AS32,DIRGANTARA,Super Puma,H,T
AS32,EUROCOPTER,AS-332 Super Puma,H,T
AS32,EUROCOPTER,AS-532 Cougar,H,T
AS32,EUROCOPTER,Cougar (AS-532),H,T
AS32,EUROCOPTER,HD-21 Super Puma,H,T
AS32,EUROCOPTER,Hkp10 Super Puma,H,T
AS32,EUROCOPTER,HT-21 Super Puma,H,T
AS32,EUROCOPTER,HU-21 Cougar,H,T
AS32,EUROCOPTER,Super Puma (AS-332/HD-21/HT-21/HU-21/Hkp10),H,T
AS32,NURTANIO,NAS-332 Super Puma,H,T
AS32,NURTANIO,Super Puma,H,T
AS32,NUSANTARA,NAS-332 Super Puma,H,T
AS32,NUSANTARA,Super Puma,H,T
AS32,RUAG,AS-532 Cougar,H,T
AS32,RUAG,Cougar,H,T
AS32,SF,AS-532 Cougar,H,T
AS32,SF,Cougar,H,T
AS32,SINGAPORE,AS-332 Super Puma,H,T
AS32,SINGAPORE,Super Puma,H,T
AS32,TUSAS,AS-532 Cougar,H,T
AS32,TUSAS,Cougar,H,T
AS50,AEROSPATIALE,AS-350 AStar,H,T
AS50,AEROSPATIALE,AS-350 Ecureuil,H,T
AS50,AEROSPATIALE,AS-350 SuperStar,H,T
AS50,AEROSPATIALE,AS-550 Fennec,H,T
AS50,AEROSPATIALE,AStar,H,T
AS50,AEROSPATIALE,Ecureuil,H,T
AS50,AEROSPATIALE,Fennec (AS-550),H,T
AS50,AEROSPATIALE,SuperStar,H,T
